MAS: Financial Database - Domestic Interest Rates Exchange Rates;;;;MAS: Financial Database - Exchange Rates;;;;;
;;;;;;;;;
Domestic Interest Rates (Daily) Exchange Rates (Daily);;;;Exchange Rates (Daily);;;;;
Mar 2000 to May 2024;;;;Mar 2000 to May 2024;;;;;
;;;;;;;;;
;;;;;;;;;
End of Period / SORA Value Date;Month;Date;Interbank 1-Week;Year;Month;Day;S$ Per Unit of US Dollar;tasa_EEUU;riesgo_MALASIA
;;13;0,19;;;30;13.253;0,08;0,11
;;14;0,19;;;31;13.213;0,08;0,11
;;15;0,19;;;;;0,07;0,12
;;16;0,19;* Yearly; monthly and weekly figures are end period values,;;;0,07;0,12
;;19;0,19;* Daily figures are values as of noon,;;;;0,08;0,11
;;20;0,19;;;;;0,08;0,11
;;21;0,19;;;;;0,08;0,11
;;22;0,19;End of Period;;;S$ Per Unit of US Dollar;0,08;0,11
;;23;0,19;2015;Jan;2;13.264;0,08;0,11
;;26;0,25;;;5;13.352;0,07;0,18
;;27;0,19;;;6;13.347;0,07;0,12
;;28;0,25;;;7;13.353;0,07;0,18
;;29;0,25;;;8;13.375;0,07;0,18
;;30;0,19;;;9;13.366;0,07;0,12
;Oct;3;0,25;;;12;13.318;0,07;0,18
;;4;0,25;;;13;13.337;0,06;0,19
;;5;0,25;;;14;13.360;0,06;0,19
;;6;0,25;;;15;13.340;0,06;0,19
;;7;0,25;;;16;13.246;0,06;0,19
;;10;0,25;;;19;13.280;0,06;0,19
;;11;0,25;;;20;13.379;0,06;0,19
;;12;0,25;;;21;13.365;0,06;0,19
;;13;0,25;;;22;13.346;0,06;0,19
;;14;0,25;;;23;13.374;0,06;0,19
;;17;0,25;;;26;13.452;0,06;0,19
;;18;0,25;;;27;13.439;0,06;0,19
;;19;0,25;;;28;13.518;0,06;0,19
;;20;0,25;;;29;13.533;0,06;0,19
;;21;0,25;;;30;13.512;0,06;0,19
;;24;0,25;;Feb;2;13.545;0,06;0,19
;;25;0,25;;;3;13.527;0,07;0,18
;;27;0,25;;;4;13.450;0,08;0,17
;;28;0,25;;;5;13.476;0,11;0,14
;;31;0,25;;;6;13.449;0,11;0,14
;Nov;1;0,25;;;9;13.528;0,11;0,14
;;2;0,25;;;10;13.528;0,17;0,08
;;3;0,25;;;11;13.564;0,16;0,09
;;4;0,25;;;12;13.617;0,12;0,13
;;8;0,25;;;13;13.561;0,09;0,16
;;9;0,25;;;16;13.545;0,08;0,17
;;10;0,25;;;17;13.550;0,08;0,17
;;11;0,25;;;18;13.573;0,08;0,17
;;14;0,25;;;23;13.603;0,11;0,14
;;15;0,25;;;24;13.601;0,10;0,15
;;16;0,25;;;25;13.570;0,10;0,15
;;17;0,25;;;26;13.530;0,09;0,16
;;18;0,25;;;27;13.568;0,10;0,15
;;21;0,31;;Mar;2;13.641;0,10;0,21
;;22;0,31;;;3;13.646;0,10;0,21
;;23;0,31;;;4;13.626;0,10;0,21
;;24;0,31;;;5;13.685;0,09;0,22
;;25;0,31;;;6;13.695;0,09;0,22
;;28;0,31;;;9;13.813;0,09;0,22
;;29;0,31;;;10;13.856;0,09;0,22
;;30;0,31;;;11;13.874;0,09;0,22
;Dec;1;0,31;;;12;13.875;0,09;0,22
;;2;0,25;;;13;13.839;0,09;0,16
;;5;0,25;;;16;13.925;0,08;0,17
;;6;0,25;;;17;13.892;0,08;0,17
;;7;0,25;;;18;13.887;0,08;0,17
;;8;0,25;;;19;13.809;0,09;0,16
;;9;0,25;;;20;13.861;0,09;0,16
;;12;0,25;;;23;13.777;0,09;0,16
;;13;0,25;;;24;13.697;0,09;0,16
;;14;0,25;;;25;13.661;0,08;0,17
;;15;0,25;;;26;13.706;0,08;0,17
;;16;0,31;;;27;13.694;0,08;0,23
;;19;0,31;;;30;13.747;0,08;0,23
;;20;0,31;;;31;13.765;0,08;0,23
;;21;0,31;;Apr;1;13.673;0,08;0,23
;;22;0,31;;;2;13.628;0,08;0,23
;;23;0,31;;;6;13.518;0,09;0,22
;;27;0,31;;;7;13.565;0,09;0,22
;;28;0,31;;;8;13.585;0,09;0,22
;;29;0,31;;;9;13.561;0,09;0,22
;;30;0,31;;;10;13.586;0,04;0,27
;;;;;;13;13.686;;0,00
;;;;;;14;13.638;;0,00
End of Period / SORA Value Date;;;Interbank 1-Week;;;15;13.635;;#�VALOR!
2012;Jan;3;0,31;;;16;13.545;0,04;0,27
;;4;0,31;;;17;13.491;0,04;0,27
;;5;0,31;;;20;13.450;0,07;0,24
;;6;0,31;;;21;13.507;0,07;0,24
;;9;0,31;;;22;13.503;0,07;0,24
;;10;0,31;;;23;13.464;0,07;0,24
;;11;0,31;;;24;13.405;0,07;0,24
;;12;0,31;;;27;13.325;0,07;0,24
;;13;0,31;;;28;13.293;0,08;0,23
;;16;0,31;;;29;13.204;0,08;0,23
;;17;0,31;;;30;13.230;0,08;0,23
;;18;0,31;;May;4;13.320;0,08;0,23
;;19;0,31;;;5;13.360;0,09;0,22
;;20;0,31;;;6;13.277;0,09;0,22
;;25;0,31;;;7;13.285;0,09;0,22
;;26;0,31;;;8;13.328;0,09;0,22
;;27;0,31;;;11;13.341;0,09;0,22
;;30;0,31;;;12;13.396;0,09;0,22
;;31;0,31;;;13;13.351;0,10;0,21
;Feb;1;0,31;;;14;13.209;0,09;0,22
;;2;0,31;;;15;13.210;0,09;0,22
;;3;0,31;;;18;13.222;0,09;0,22
;;6;0,31;;;19;13.280;0,09;0,22
;;7;0,31;;;20;13.361;0,09;0,22
;;8;0,31;;;21;13.357;0,08;0,23
;;9;0,31;;;22;13.321;0,08;0,23
;;10;0,31;;;25;13.389;0,09;0,22
;;13;0,31;;;26;13.448;0,09;0,22
;;14;0,31;;;27;13.505;0,09;0,22
;;15;0,31;;;28;13.508;0,09;0,22
;;16;0,31;;;29;13.476;0,11;0,20
;;17;0,31;;Jun;2;13.554;0,11;0,20
;;20;0,31;;;3;13.469;0,11;0,20
;;21;0,31;;;4;13.467;0,11;0,20
;;22;0,31;;;5;13.476;0,11;0,20
;;23;0,31;;;8;13.603;0,11;0,20
;;24;0,31;;;9;13.543;0,11;0,20
;;27;0,31;;;10;13.540;0,11;0,20
;;28;0,31;;;11;13.440;0,11;0,20
;;29;0,31;;;12;13.444;0,11;0,20
;Mar;1;0,31;;;15;13.479;0,12;0,19
;;2;0,31;;;16;13.459;0,12;0,19
;;5;0,31;;;17;13.434;0,12;0,19
;;6;0,31;;;18;13.358;0,12;0,19
;;7;0,31;;;19;13.341;0,12;0,19
;;8;0,31;;;22;13.321;0,12;0,19
;;9;0,31;;;23;13.390;0,11;0,20
;;12;0,31;;;24;13.420;0,09;0,22
;;13;0,31;;;25;13.428;0,09;0,22
;;14;0,31;;;26;13.437;0,09;0,22
;;15;0,31;;;29;13.521;0,09;0,22
;;16;0,31;;;30;13.474;0,10;0,21
;;19;0,31;;Jul;1;13.453;0,08;0,23
;;20;0,31;;;2;13.517;0,08;0,23
;;21;0,31;;;3;13.501;0,09;0,22
;;22;0,25;;;6;13.514;0,09;0,16
;;23;0,25;;;7;13.524;0,09;0,16
;;26;0,25;;;8;13.565;0,10;0,15
;;27;0,25;;;9;13.506;0,10;0,15
;;28;0,25;;;10;13.487;0,10;0,15
;;29;0,25;;;13;13.518;0,11;0,14
;;30;0,25;;;14;13.609;0,11;0,14
;Apr;2;0,25;;;15;13.610;0,11;0,14
;;3;0,25;;;16;13.669;0,11;0,14
;;4;0,25;;;20;13.729;0,11;0,14
;;5;0,25;;;21;13.712;0,11;0,14
;;9;0,25;;;22;13.650;0,11;0,14
;;10;0,25;;;23;13.674;0,11;0,14
;;11;0,25;;;24;13.709;0,12;0,13
;;12;0,25;;;27;13.695;0,12;0,13
;;13;0,25;;;28;13.661;0,12;0,13
;;16;0,25;;;29;13.637;0,12;0,13
;;17;0,25;;;30;13.704;0,12;0,13
;;18;0,25;;;31;13.728;0,13;0,12
;;19;0,25;;Aug;3;13.731;0,14;0,11
;;20;0,25;;;4;13.806;0,15;0,10
;;23;0,25;;;5;13.853;0,15;0,10
;;24;0,25;;;6;13.838;0,15;0,10
;;25;0,25;;;11;13.983;0,15;0,10
;;26;0,25;;;12;14.119;0,15;0,10
;;27;0,25;;;13;13.932;0,15;0,10
;;30;0,25;;;14;14.042;0,14;0,11
;May;2;0,25;;;17;14.084;0,14;0,11
;;3;0,25;;;18;14.070;0,14;0,11
;;4;0,25;;;19;14.040;0,14;0,11
;;7;0,25;;;20;14.032;0,14;0,11
;;8;0,25;;;21;14.090;0,14;0,11
;;9;0,25;;;24;14.131;0,13;0,12
;;10;0,25;;;25;14.057;0,13;0,12
;;11;0,25;;;26;14.006;0,09;0,16
;;14;0,25;;;27;14.018;0,09;0,16
;;15;0,25;;;28;14.018;0,09;0,16
;;16;0,25;;;31;14.135;0,15;0,10
;;17;0,25;;Sep;1;14.083;0,15;0,10
;;18;0,25;;;2;14.130;0,15;0,10
;;21;0,25;;;3;14.163;0,15;0,10
;;22;0,25;;;4;14.183;0,12;0,13
;;23;0,25;;;7;14.249;0,12;0,13
;;24;0,25;;;8;14.262;0,12;0,13
;;25;0,25;;;9;14.140;0,16;0,09
;;28;0,25;;;10;14.212;0,15;0,10
;;29;0,25;;;14;14.104;0,16;0,09
;;30;0,25;;;15;14.011;0,15;0,10
;;31;0,25;;;16;14.008;0,15;0,10
;Jun;1;0,31;;;17;13.988;0,15;0,16
;;4;0,31;;;18;14.003;0,15;0,16
;;5;0,31;;;21;14.050;0,15;0,16
;;6;0,31;;;22;14.128;0,16;0,15
;;7;0,31;;;23;14.219;0,15;0,16
;;8;0,31;;;25;14.243;0,13;0,18
;;11;0,31;;;28;14.259;0,12;0,19
;;12;0,31;;;29;14.319;0,12;0,19
;;13;0,31;;;30;14.253;0,12;0,19
;;14;0,31;;Oct;1;14.258;0,13;0,18
;;15;0,31;;;2;14.356;0,14;0,17
;;18;0,25;;;5;14.318;0,15;0,10
;;19;0,25;;;6;14.237;0,14;0,11
;;20;0,25;;;7;14.243;0,13;0,12
;;21;0,25;;;8;14.140;0,13;0,12
;;22;0,25;;;9;14.018;0,13;0,12
;;25;0,25;;;12;14.020;0,16;0,09
;;26;0,25;;;13;14.030;0,16;0,09
;;27;0,25;;;14;13.933;0,15;0,10
;;28;0,25;;;15;13.763;0,15;0,10
;;29;0,25;;;16;13.834;0,16;0,09
;Jul;2;0,25;;;19;13.827;0,16;0,09
;;3;0,25;;;20;13.891;0,16;0,09
;;4;0,25;;;21;13.905;0,16;0,09
;;5;0,25;;;22;13.927;0,16;0,09
;;6;0,25;;;23;13.845;0,15;0,10
;;9;0,25;;;26;13.939;0,15;0,10
;;10;0,25;;;27;13.929;0,15;0,10
;;11;0,25;;;28;13.969;0,15;0,10
;;12;0,25;;;29;14.025;0,15;0,10
;;13;0,25;;;30;14.018;0,16;0,09
;;16;0,25;;Nov;2;14.002;0,16;0,09
;;17;0,25;;;3;13.959;0,16;0,09
;;18;0,25;;;4;13.945;0,16;0,09
;;19;0,25;;;5;14.042;0,16;0,09
;;20;0,25;;;6;14.064;0,16;0,09
;;23;0,25;;;9;14.211;0,16;0,09
;;24;0,25;;;11;14.189;0,16;0,09
;;25;0,25;;;12;14.175;0,16;0,09
;;26;0,25;;;13;14.201;0,15;0,10
;;27;0,25;;;16;14.243;0,15;0,10
;;30;0,31;;;17;14.232;0,15;0,16
;;31;0,31;;;18;14.260;0,15;0,16
;Aug;1;0,31;;;19;14.181;0,15;0,16
;;2;0,31;;;20;14.119;0,15;0,16
;;3;0,31;;;23;14.183;0,16;0,15
;;6;0,25;;;24;14.147;0,16;0,09
;;7;0,25;;;25;14.061;0,16;0,09
;;8;0,25;;;26;14.056;0,16;0,09
;;10;0,25;;;27;14.092;0,16;0,09
;;13;0,25;;;30;14.131;0,16;0,09
;;14;0,25;;Dec;1;14.095;0,17;0,08
;;15;0,25;;;2;14.067;0,17;0,08
;;16;0,25;;;3;14.126;0,16;0,09
;;17;0,25;;;4;13.969;0,16;0,09
;;21;0,25;;;7;14.003;0,17;0,08
;;22;0,25;;;8;14.084;0,17;0,08
;;23;0,25;;;9;14.054;0,17;0,08
;;24;0,25;;;10;14.036;0,17;0,08
;;27;0,25;;;11;14.067;0,16;0,09
;;28;0,25;;;14;14.117;0,17;0,08
;;29;0,25;;;15;14.101;0,17;0,08
;;30;0,25;;;16;14.064;0,18;0,07
;;31;0,25;;;17;14.165;0,18;0,07
;Sep;3;0,25;;;18;14.186;0,18;0,07
;;4;0,25;;;21;14.116;0,17;0,08
;;5;0,25;;;22;14.071;0,17;0,08
;;6;0,25;;;23;14.052;0,16;0,09
;;7;0,25;;;24;14.056;0,17;0,08
;;10;0,25;;;28;14.060;0,17;0,08
;;11;0,25;;;29;14.099;0,17;0,08
;;12;0,25;;;30;14.145;0,17;0,08
;;13;0,25;;;31;14.139;0,17;0,08
;;14;0,25;;;;;0,16;0,09
;;17;0,25;* Yearly; monthly and weekly figures are end period values,;;;0,15;0,10
;;18;0,25;* Daily figures are values as of noon,;;;;0,15;0,10
;;19;0,25;;;;;0,09;0,16
;;20;0,25;;;;;0,09;0,16
;;21;0,25;End of Period;;;S$ Per Unit of US Dollar;0,09;0,16
;;24;0,25;2016;Jan;4;14.233;0,18;0,07
;;25;0,25;;;5;14.247;0,17;0,08
;;26;0,25;;;6;14.314;0,17;0,08
;;27;0,31;;;7;14.360;0,17;0,14
;;28;0,31;;;8;14.337;0,17;0,14
;Oct;1;0,28;;;11;14.379;0,17;0,11
;;2;0,31;;;12;14.389;0,17;0,14
;;3;0,31;;;13;14.349;0,17;0,14
;;4;0,25;;;14;14.388;0,17;0,08
;;5;0,25;;;15;14.394;0,17;0,08
;;8;0,25;;;18;14.385;0,18;0,07
;;9;0,31;;;19;14.382;0,19;0,12
;;10;0,31;;;20;14.386;0,19;0,12
;;11;0,25;;;21;14.389;0,19;0,06
;;12;0,25;;;22;14.327;0,18;0,07
;;15;0,25;;;25;14.275;0,17;0,08
;;16;0,25;;;26;14.304;0,16;0,09
;;17;0,25;;;27;14.281;0,13;0,12
;;18;0,25;;;28;14.310;0,13;0,12
;;19;0,25;;;29;14.277;0,13;0,12
;;22;0,25;;Feb;1;14.248;0,13;0,12
;;23;0,25;;;2;14.250;0,14;0,11
;;24;0,25;;;3;14.320;0,15;0,10
;;25;0,25;;;4;14.143;0,15;0,10
;;29;0,25;;;5;13.978;0,14;0,11
;;30;0,25;;;10;13.939;0,14;0,11
;;31;0,25;;;11;13.889;0,14;0,11
;Nov;1;0,25;;;12;13.962;0,14;0,11
;;2;0,25;;;15;14.030;0,14;0,11
;;5;0,25;;;16;14.020;0,13;0,12
;;6;0,25;;;17;14.055;0,14;0,11
;;7;0,25;;;18;14.036;0,14;0,11
;;8;0,25;;;19;14.076;0,14;0,11
;;9;0,25;;;22;14.031;0,14;0,11
;;12;0,25;;;23;14.027;0,14;0,11
;;14;0,25;;;24;14.075;0,14;0,11
;;15;0,25;;;25;14.030;0,13;0,12
;;16;0,25;;;26;13.999;0,13;0,12
;;19;0,25;;;29;14.085;0,13;0,12
;;20;0,25;;Mar;1;14.039;0,13;0,12
;;21;0,25;;;2;14.027;0,13;0,12
;;22;0,25;;;3;13.936;0,13;0,12
;;23;0,25;;;4;13.830;0,13;0,12
;;26;0,25;;;7;13.799;0,13;0,12
;;27;0,25;;;8;13.837;0,13;0,12
;;28;0,25;;;9;13.877;0,13;0,12
;;29;0,25;;;10;13.828;0,13;0,12
;;30;0,25;;;11;13.759;0,13;0,12
;Dec;3;0,25;;;14;13.730;0,13;0,12
;;4;0,25;;;15;13.775;0,13;0,12
;;5;0,25;;;16;13.805;0,13;0,12
;;6;0,25;;;17;13.652;0,13;0,12
;;7;0,25;;;18;13.545;0,13;0,12
;;10;0,25;;;21;13.598;0,13;0,12
;;11;0,25;;;22;13.617;0,13;0,12
;;12;0,25;;;23;13.616;0,13;0,12
;;13;0,25;;;24;13.693;0,13;0,12
;;14;0,25;;;28;13.722;0,13;0,12
;;17;0,25;;;29;13.694;0,13;0,12
;;18;0,25;;;30;13.563;0,14;0,11
;;19;0,25;;;31;13.511;0,13;0,12
;;20;0,25;;Apr;1;13.512;0,13;0,12
;;21;0,25;;;4;13.510;0,13;0,12
;;24;0,25;;;5;13.558;0,13;0,12
;;26;0,25;;;6;13.554;0,14;0,11
;;27;0,25;;;7;13.506;0,16;0,09
;;28;0,25;;;8;13.510;0,16;0,09
;;31;0,25;;;11;13.465;0,15;0,10
;;;;;;12;13.455;0,15;
;;;;;;13;13.454;0,15;
End of Period / SORA Value Date;;;Interbank 1-Week;;;14;13.627;0,15;
2013;Jan;2;0,25;;;15;13.617;0,15;0,10
;;3;0,25;;;18;13.568;0,15;0,10
;;4;0,25;;;19;13.483;0,15;0,10
;;7;0,25;;;20;13.415;0,16;0,09
;;8;0,25;;;21;13.446;0,16;0,09
;;9;0,25;;;22;13.485;0,16;0,09
;;10;0,25;;;25;13.538;0,16;0,09
;;11;0,25;;;26;13.542;0,16;0,09
;;14;0,25;;;27;13.505;0,15;0,10
;;15;0,25;;;28;13.489;0,16;0,09
;;16;0,25;;;29;13.445;0,15;0,10
;;17;0,25;;May;3;13.405;0,15;0,10
;;18;0,25;;;4;13.543;0,15;0,10
;;21;0,25;;;5;13.563;0,16;0,09
;;22;0,25;;;6;13.602;0,15;0,10
;;23;0,25;;;9;13.629;0,15;0,10
;;24;0,25;;;10;13.711;0,14;0,11
;;25;0,25;;;11;13.707;0,09;0,16
;;28;0,25;;;12;13.673;0,09;0,16
;;29;0,25;;;13;13.747;0,09;0,16
;;30;0,25;;;16;13.716;0,15;0,10
;;31;0,25;;;17;13.668;0,16;0,09
;Feb;1;0,25;;;18;13.743;0,16;0,09
;;4;0,25;;;19;13.804;0,15;0,10
;;5;0,25;;;20;13.799;0,15;0,10
;;6;0,25;;;23;13.780;0,15;0,10
;;7;0,25;;;24;13.822;0,15;0,10
;;8;0,25;;;25;13.796;0,15;0,10
;;13;0,25;;;26;13.769;0,16;0,09
;;14;0,25;;;27;13.743;0,16;0,09
;;15;0,25;;;30;13.819;0,16;0,09
;;18;0,25;;;31;13.796;0,16;0,09
;;19;0,25;;Jun;1;13.794;0,16;0,09
;;20;0,25;;;2;13.755;0,16;0,09
;;21;0,25;;;3;13.760;0,16;0,09
;;22;0,25;;;6;13.618;0,16;0,09
;;25;0,25;;;7;13.582;0,15;0,10
;;26;0,25;;;8;13.534;0,15;0,10
;;27;0,25;;;9;13.483;0,16;0,09
;;28;0,25;;;10;13.547;0,16;0,09
;Mar;1;0,25;;;13;13.594;0,16;0,09
;;4;0,25;;;14;13.544;0,15;0,10
;;5;0,25;;;15;13.559;0,15;0,10
;;6;0,25;;;16;13.504;0,17;0,08
;;7;0,25;;;17;13.495;0,16;0,09
;;8;0,25;;;20;13.447;0,16;0,09
;;11;0,25;;;21;13.428;0,16;0,09
;;12;0,25;;;22;13.433;0,16;0,09
;;13;0,25;;;23;13.375;0,17;0,08
;;14;0,25;;;24;13.616;0,17;0,08
;;15;0,25;;;27;13.573;0,18;0,07
;;18;0,25;;;28;13.570;0,17;0,08
;;19;0,25;;;29;13.514;0,16;0,09
;;20;0,25;;;30;13.490;0,16;0,09
;;21;0,25;;Jul;1;13.452;0,16;0,09
;;22;0,25;;;4;13.440;0,17;0,08
;;25;0,25;;;5;13.473;0,16;0,09
;;26;0,25;;;7;13.502;0,16;0,09
;;27;0,25;;;8;13.494;0,16;0,09
;;28;0,25;;;11;13.457;0,16;0,09
;Apr;1;0,25;;;12;13.500;0,16;0,09
;;2;0,25;;;13;13.478;0,16;0,09
;;3;0,25;;;14;13.471;0,16;0,09
;;4;0,25;;;15;13.433;0,16;0,09
;;5;0,25;;;18;13.489;0,16;0,09
;;8;0,25;;;19;13.510;0,16;0,09
;;9;0,25;;;20;13.551;0,16;0,09
;;10;0,25;;;21;13.575;0,16;0,09
;;11;0,25;;;22;13.558;0,16;0,09
;;12;0,25;;;25;13.607;0,16;0,09
;;15;0,25;;;26;13.601;0,16;0,09
;;16;0,25;;;27;13.594;0,16;0,09
;;17;0,25;;;28;13.509;0,16;0,09
;;18;0,25;;;29;13.475;0,16;0,09
;;19;0,25;;Aug;1;13.392;0,16;0,09
;;22;0,25;;;2;13.428;0,16;0,09
;;23;0,25;;;3;13.401;0,16;0,09
;;24;0,25;;;4;13.418;0,16;0,09
;;25;0,25;;;5;13.418;0,16;0,09
;;26;0,25;;;8;13.478;0,16;0,09
;;29;0,25;;;10;13.408;0,16;0,09
;;30;0,25;;;11;13.437;0,16;0,09
;May;2;0,25;;;12;13.453;0,16;0,09
;;3;0,25;;;15;13.464;0,16;0,09
;;6;0,25;;;16;13.419;0,17;0,08
;;7;0,25;;;17;13.437;0,16;0,09
;;8;0,25;;;18;13.395;0,16;0,09
;;9;0,25;;;19;13.443;0,16;0,09
;;10;0,25;;;22;13.526;0,16;0,09
;;13;0,25;;;23;13.499;0,16;0,09
;;14;0,25;;;24;13.520;0,16;0,09
;;15;0,25;;;25;13.535;0,17;0,08
;;16;0,25;;;26;13.523;0,17;0,08
;;17;0,25;;;29;13.599;0,16;0,09
;;20;0,25;;;30;13.613;0,17;0,08
;;21;0,25;;;31;13.630;0,17;0,08
;;22;0,25;;Sep;1;13.633;0,17;0,08
;;23;0,25;;;2;13.587;0,16;0,09
;;27;0,25;;;5;13.585;0,17;0,08
;;28;0,25;;;6;13.575;0,17;0,08
;;29;0,25;;;7;13.475;0,17;0,08
;;30;0,25;;;8;13.474;0,17;0,08
;;31;0,25;;;9;13.516;0,17;0,08
;Jun;3;0,25;;;13;13.579;0,17;0,08
;;4;0,25;;;14;13.662;0,18;0,07
;;5;0,25;;;15;13.654;0,18;0,07
;;6;0,25;;;16;13.626;0,17;0,08
;;7;0,25;;;19;13.642;0,17;0,08
;;10;0,25;;;20;13.634;0,17;0,08
;;11;0,25;;;21;13.614;0,17;0,08
;;12;0,25;;;22;13.537;0,17;0,08
;;13;0,25;;;23;13.583;0,09;0,16
;;14;0,25;;;26;13.610;0,09;0,16
;;17;0,25;;;27;13.587;0,09;0,16
;;18;0,25;;;28;13.596;0,09;0,16
;;19;0,25;;;29;13.614;0,09;0,16
;;20;0,25;;;30;13.656;0,09;0,16
;;21;0,25;;Oct;3;13.653;0,09;0,16
;;24;0,25;;;4;13.684;0,09;0,16
;;25;0,25;;;5;13.699;0,09;0,16
;;26;0,25;;;6;13.705;0,09;0,16
;;27;0,25;;;7;13.735;0,09;0,16
;;28;0,25;;;10;13.733;0,09;0,16
;Jul;1;0,25;;;11;13.788;0,09;0,16
;;2;0,25;;;12;13.787;0,09;0,16
;;3;0,25;;;13;13.847;0,09;0,16
;;4;0,25;;;14;13.892;0,09;0,16
;;5;0,25;;;17;13.922;0,09;0,16
;;8;0,25;;;18;13.880;0,09;0,16
;;9;0,25;;;19;13.865;0,09;0,16
;;10;0,25;;;20;13.878;0,09;0,16
;;11;0,25;;;21;13.941;0,09;0,16
;;12;0,25;;;24;13.930;0,09;0,16
;;15;0,25;;;25;13.923;0,09;0,16
;;16;0,25;;;26;13.892;0,09;0,16
;;17;0,25;;;27;13.926;0,09;0,16
;;18;0,25;;;28;13.946;0,09;0,16
;;19;0,25;;;31;13.921;0,09;0,16
;;22;0,25;;Nov;1;13.902;0,09;0,16
;;23;0,25;;;2;13.900;0,09;0,16
;;24;0,25;;;3;13.837;0,09;0,16
;;25;0,25;;;4;13.850;0,09;0,16
;;26;0,25;;;7;13.885;0,09;0,16
;;29;0,25;;;8;13.902;0,09;0,16
;;30;0,25;;;9;13.880;0,09;0,16
;;31;0,25;;;10;13.980;0,09;0,16
;Aug;1;0,25;;;11;14.100;0,09;0,16
;;2;0,25;;;14;14.134;0,09;0,16
;;5;0,25;;;15;14.130;0,09;0,16
;;6;0,25;;;16;14.138;0,09;0,16
;;7;0,25;;;17;14.165;0,09;0,16
;;12;0,25;;;18;14.264;0,09;0,16
;;13;0,25;;;21;14.279;0,09;0,16
;;14;0,25;;;22;14.223;0,09;0,16
;;15;0,25;;;23;14.268;0,09;0,16
;;16;0,25;;;24;14.352;0,09;0,16
;;19;0,25;;;25;14.296;0,09;0,16
;;20;0,25;;;28;14.228;0,09;0,16
;;21;0,25;;;29;14.258;0,09;0,16
;;22;0,25;;;30;14.250;0,09;0,16
;;23;0,25;;Dec;1;14.307;0,09;0,16
;;26;0,25;;;2;14.246;0,09;0,16
;;27;0,25;;;5;14.254;0,09;0,16
;;28;0,25;;;6;14.200;0,09;0,16
;;29;0,25;;;7;14.225;0,09;0,16
;;30;0,25;;;8;14.157;0,09;0,16
;Sep;2;0,25;;;9;14.248;0,09;0,16
;;3;0,25;;;12;14.308;0,09;0,16
;;4;0,25;;;13;14.244;0,09;0,16
;;5;0,25;;;14;14.257;0,09;0,16
;;6;0,25;;;15;14.370;0,09;0,16
;;9;0,25;;;16;14.435;0,09;0,16
;;10;0,25;;;19;14.466;0,09;0,16
;;11;0,25;;;20;14.481;0,09;0,16
;;12;0,25;;;21;14.439;0,09;0,16
;;13;0,25;;;22;14.464;0,09;0,16
;;16;0,25;;;23;14.466;0,09;0,16
;;17;0,25;;;27;14.486;0,09;0,16
;;18;0,25;;;28;14.493;0,09;0,16
;;19;0,25;;;29;14.499;0,09;0,16
;;20;0,25;;;30;14.463;0,09;0,16
;;23;0,25;;;;;0,09;0,16
;;24;0,25;* Yearly; monthly and weekly figures are end period values,;;;0,09;0,16
;;25;0,25;* Daily figures are values as of noon,;;;;0,09;0,16
;;26;0,25;;;;;0,09;0,16
;;27;0,25;;;;;0,09;0,16
;;30;0,25;End of Period;;;S$ Per Unit of US Dollar;0,09;0,16
;Oct;1;0,25;2017;Jan;3;14.473;0,09;0,16
;;2;0,25;;;4;14.489;0,09;0,16
;;3;0,25;;;5;14.378;0,09;0,16
;;4;0,25;;;6;14.316;0,09;0,16
;;7;0,25;;;9;14.410;0,09;0,16
;;8;0,25;;;10;14.327;0,09;0,16
;;9;0,25;;;11;14.354;0,09;0,16
;;10;0,25;;;12;14.276;0,09;0,16
;;11;0,25;;;13;14.280;0,09;0,16
;;14;0,25;;;16;14.297;0,09;0,16
;;16;0,25;;;17;14.284;0,09;0,16
;;17;0,25;;;18;14.190;0,09;0,16
;;18;0,25;;;19;14.274;0,09;0,16
;;21;0,25;;;20;14.239;0,09;0,16
;;22;0,25;;;23;14.196;0,09;0,16
;;23;0,25;;;24;14.170;0,09;0,16
;;24;0,25;;;25;14.204;0,09;0,16
;;25;0,25;;;26;14.142;0,09;0,16
;;28;0,25;;;27;14.259;0,09;0,16
;;29;0,25;;;31;14.196;0,09;0,16
;;30;0,25;;Feb;1;14.136;0,09;0,16
;;31;0,25;;;2;14.111;0,09;0,16
;Nov;1;0,25;;;3;14.132;0,09;0,16
;;4;0,25;;;6;14.074;0,09;0,16
;;5;0,25;;;7;14.138;0,09;0,16
;;6;0,25;;;8;14.169;0,09;0,16
;;7;0,25;;;9;14.163;0,09;0,16
;;8;0,25;;;10;14.212;0,09;0,16
;;11;0,25;;;13;14.241;0,09;0,16
;;12;0,25;;;14;14.206;0,09;0,16
;;13;0,38;;;15;14.193;0,09;0,29
;;14;0,25;;;16;14.194;0,09;0,16
;;15;0,25;;;17;14.174;0,09;0,16
;;18;0,25;;;20;14.179;0,09;0,16
;;19;0,25;;;21;14.207;0,09;0,16
;;20;0,25;;;22;14.188;0,09;0,16
;;21;0,25;;;23;14.148;0,09;0,16
;;22;0,25;;;24;14.047;0,09;0,16
;;25;0,25;;;27;14.049;0,09;0,16
;;26;0,25;;;28;14.040;0,09;0,16
;;27;0,25;;Mar;1;14.072;0,09;0,16
;;28;0,25;;;2;14.110;0,09;0,16
;;29;0,25;;;3;14.135;0,09;0,16
