Date;Group;Series;Value;Group;Series;Value
1/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
3/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,3775
4/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,5475
5/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,7
6/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,695
7/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,625
8/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
9/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,51
11/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,5775
12/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,565
13/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,58
14/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,505
15/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
16/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
17/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,4025
18/09/2001;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,5375
19/09/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,525
20/09/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,495
21/09/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,745
22/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
23/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/09/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,855
25/09/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,73
26/09/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,74
27/09/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,805
28/09/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,66
29/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
30/09/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
1/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,65
2/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,645
3/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5925
4/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,585
5/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6275
6/10/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
7/10/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
8/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,565
9/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5475
10/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5575
11/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,54
12/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5425
13/10/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
14/10/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
15/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4525
16/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,45
17/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4475
18/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,54
19/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4675
20/10/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
21/10/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
22/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,555
23/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6575
24/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6625
25/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6
26/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,535
27/10/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
28/10/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
29/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5625
30/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,58
31/10/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5875
1/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6175
2/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,54
3/11/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
4/11/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
5/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6
6/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5425
7/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5175
8/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4825
9/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,58
10/11/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
11/11/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
12/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5075
13/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,575
14/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,605
15/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,545
16/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,575
17/11/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
18/11/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
19/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6325
20/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,615
21/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6925
22/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,695
23/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,66
24/11/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
25/11/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
26/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,59
27/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,605
28/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,605
29/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,675
30/11/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,665
1/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
3/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,7225
4/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,685
5/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5775
6/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5525
7/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,475
8/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
9/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,505
11/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5
12/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,485
13/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4525
14/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,465
15/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
16/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
17/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,525
18/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4575
19/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5125
20/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5325
21/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6625
22/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
23/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
25/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
26/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
27/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,7325
28/12/2001;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6675
29/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
30/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
31/12/2001;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
1/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,3025
3/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,265
4/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,3
5/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
6/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
7/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,2175
8/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,365
9/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,39
10/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,355
11/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,2675
12/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
13/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
14/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,2925
15/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,3925
16/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4225
17/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,475
18/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5175
19/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
20/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
21/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4125
22/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4475
23/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,47
24/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5175
25/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5325
26/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
27/01/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
28/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6725
29/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,7275
30/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,7
31/01/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6325
1/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6725
2/02/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
3/02/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
4/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,695
5/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,625
6/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,6425
7/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,625
8/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5775
9/02/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/02/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
11/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,595
12/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5325
13/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5625
14/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,565
15/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,55
16/02/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
17/02/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
18/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,51
19/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,61
20/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,515
21/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5125
22/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,5325
23/02/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/02/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
25/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4525
26/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4225
27/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,515
28/02/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4925
1/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4675
2/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
3/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
4/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4875
5/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,4075
6/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,37
7/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,315
8/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,3125
9/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
11/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,3625
12/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,3725
13/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,435
14/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,395
15/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,3325
16/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
17/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
18/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,3475
19/03/2002;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;10,2775
20/03/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,275
21/03/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,195
22/03/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,215
23/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
25/03/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3
26/03/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,29
27/03/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,2975
28/03/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3375
29/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
30/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
31/03/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
1/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,2775
3/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3025
4/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,2975
5/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,2675
6/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
7/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
8/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3
9/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,375
10/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3425
11/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3275
12/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3375
13/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
14/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
15/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,2975
16/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3825
17/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,35
18/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,2675
19/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3225
20/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
21/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
22/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3575
23/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,3625
24/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,325
25/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,29
26/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,265
27/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
28/04/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
29/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,2525
30/04/2002;Riksbank key interest rates;Policy rate;4;Currencies against Swedish kronor;1 USD;10,22
1/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,2325
3/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,225
4/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
5/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
6/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,155
7/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,1975
8/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,27
9/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,21
11/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
12/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
13/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,205
14/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,265
15/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,195
16/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,13
17/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;10,07
18/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
19/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
20/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
21/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,9975
22/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,945
23/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,8875
24/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,91
25/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
26/05/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
27/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,9375
28/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,9
29/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,8525
30/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,7275
31/05/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,725
1/06/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/06/2002;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
3/06/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,7475
4/06/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,69
5/06/2002;Riksbank key interest rates;Policy rate;4,25;Currencies against Swedish kronor;1 USD;9,7225
