Date;Group;Series;Value;Group;Series;Value
8/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,77
9/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,78
10/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7225
11/03/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
12/03/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
13/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6975
14/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7275
15/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7
16/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7075
17/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6775
18/03/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
19/03/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
20/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,655
21/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,655
22/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,715
23/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7
24/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,635
25/03/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
26/03/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
27/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,5325
28/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,635
29/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6
30/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,67
31/03/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,67
1/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
3/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6825
4/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,69
5/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,63
6/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,64
7/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,64
8/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
9/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,655
11/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6075
12/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,63
13/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,68
14/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6975
15/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
16/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
17/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6475
