Banco de México;;;
;;;
Tasas y precios de referencia/ Tasa de campio peso-dólar;;;
Tasas de interés representativas;;;
;;;
Fecha de consulta: 13/05/2024 09:19:49;;;
;;;
;;;
;;;
Título;Tasas de interés interbancarias Por ciento anual, TIIE a 91 días;Tasa objetivo;Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954
Periodo disponible;23/01/1997 - 13/05/2024;21/01/2008 - 13/05/2024;19/04/1954 - 10/05/2024
Periodicidad;Diaria;Diaria;Diaria
Cifra;Porcentajes;Porcentajes;Tipo de Cambio
Unidad;Porcentajes;Sin Unidad;Pesos por Dólar
Base;;;
Aviso;;;
Tipo de información;Niveles;Niveles;Niveles
Fecha;SF43878;SF61745;SF63528
26/07/2000;N/E;N/E;9,3627
27/07/2000;150.750;N/E;9,361
28/07/2000;N/E;N/E;9,3578
31/07/2000;N/E;N/E;9,3667
1/08/2000;N/E;N/E;9,3428
2/08/2000;N/E;N/E;9,3462
3/08/2000;167.650;N/E;9,3881
4/08/2000;N/E;N/E;9,3574
7/08/2000;N/E;N/E;9,3353
8/08/2000;N/E;N/E;9,3353
9/08/2000;N/E;N/E;9,326
10/08/2000;168.800;N/E;9,3198
11/08/2000;N/E;N/E;9,2918
14/08/2000;N/E;N/E;9,2516
15/08/2000;N/E;N/E;9,2504
16/08/2000;N/E;N/E;9,1923
17/08/2000;170.500;N/E;9,1873
18/08/2000;N/E;N/E;9,2293
21/08/2000;N/E;N/E;9,2563
22/08/2000;N/E;N/E;9,2322
23/08/2000;N/E;N/E;9,2773
24/08/2000;168.000;N/E;9,2268
25/08/2000;N/E;N/E;9,2342
28/08/2000;N/E;N/E;9,2093
29/08/2000;N/E;N/E;9,2317
30/08/2000;N/E;N/E;9,2108
31/08/2000;167.050;N/E;9,1995
1/09/2000;N/E;N/E;9,2014
4/09/2000;N/E;N/E;9,2231
5/09/2000;N/E;N/E;9,2612
6/09/2000;N/E;N/E;9,3115
7/09/2000;166.850;N/E;9,3141
8/09/2000;N/E;N/E;9,3243
11/09/2000;N/E;N/E;9,2814
12/09/2000;N/E;N/E;9,2542
13/09/2000;N/E;N/E;9,286
14/09/2000;170.350;N/E;9,3125
15/09/2000;N/E;N/E;9,3517
18/09/2000;N/E;N/E;9,4172
19/09/2000;N/E;N/E;9,425
20/09/2000;N/E;N/E;9,4483
21/09/2000;175.500;N/E;9,4347
22/09/2000;N/E;N/E;9,479
25/09/2000;N/E;N/E;9,4218
26/09/2000;N/E;N/E;9,4032
27/09/2000;N/E;N/E;9,4088
28/09/2000;172.400;N/E;9,429
29/09/2000;N/E;N/E;9,4459
2/10/2000;N/E;N/E;9,4142
3/10/2000;N/E;N/E;9,4014
4/10/2000;N/E;N/E;9,4292
5/10/2000;175.750;N/E;9,4515
6/10/2000;N/E;N/E;9,46
9/10/2000;N/E;N/E;9,4753
10/10/2000;N/E;N/E;9,4632
11/10/2000;N/E;N/E;9,479
12/10/2000;173.650;N/E;9,5193
13/10/2000;N/E;N/E;9,5879
16/10/2000;N/E;N/E;9,5351
17/10/2000;N/E;N/E;9,5443
18/10/2000;N/E;N/E;9,5765
19/10/2000;185.000;N/E;9,5333
20/10/2000;N/E;N/E;9,5605
23/10/2000;N/E;N/E;9,5736
24/10/2000;N/E;N/E;9,5757
25/10/2000;N/E;N/E;9,6242
26/10/2000;185.000;N/E;9,6777
27/10/2000;N/E;N/E;9,6443
30/10/2000;N/E;N/E;9,5995
31/10/2000;N/E;N/E;9,5642
1/11/2000;183.262;N/E;9,5824
3/11/2000;N/E;N/E;9,599
6/11/2000;N/E;N/E;9,6438
7/11/2000;N/E;N/E;9,6544
8/11/2000;N/E;N/E;9,6166
9/11/2000;188.450;N/E;9,6533
10/11/2000;N/E;N/E;9,6008
13/11/2000;N/E;N/E;9,558
14/11/2000;N/E;N/E;9,4963
15/11/2000;N/E;N/E;9,4625
16/11/2000;187.950;N/E;9,4828
17/11/2000;N/E;N/E;9,4828
21/11/2000;N/E;N/E;9,4098
22/11/2000;N/E;N/E;9,379
23/11/2000;189.250;N/E;9,4057
24/11/2000;N/E;N/E;9,393
27/11/2000;N/E;N/E;9,3692
28/11/2000;N/E;N/E;9,4058
29/11/2000;N/E;N/E;9,3973
30/11/2000;189.250;N/E;9,4155
4/12/2000;N/E;N/E;9,4132
5/12/2000;N/E;N/E;9,3737
6/12/2000;N/E;N/E;9,402
7/12/2000;184.500;N/E;9,4263
8/12/2000;N/E;N/E;9,3984
11/12/2000;N/E;N/E;9,4418
13/12/2000;N/E;N/E;9,4497
14/12/2000;180.500;N/E;9,4127
15/12/2000;N/E;N/E;9,4079
18/12/2000;N/E;N/E;9,3788
19/12/2000;N/E;N/E;9,379
20/12/2000;N/E;N/E;9,4348
21/12/2000;186.000;N/E;9,5727
22/12/2000;N/E;N/E;9,598
26/12/2000;N/E;N/E;9,5201
27/12/2000;N/E;N/E;9,5722
28/12/2000;184.700;N/E;9,5997
29/12/2000;N/E;N/E;9,6098
2/01/2001;N/E;N/E;9,714
3/01/2001;N/E;N/E;9,834
4/01/2001;190.250;N/E;9,708
5/01/2001;N/E;N/E;9,7546
8/01/2001;N/E;N/E;9,69
9/01/2001;N/E;N/E;9,7417
10/01/2001;N/E;N/E;9,8167
11/01/2001;180.650;N/E;9,8548
12/01/2001;N/E;N/E;9,8798
15/01/2001;N/E;N/E;9,9018
16/01/2001;N/E;N/E;9,9778
17/01/2001;N/E;N/E;9,8878
18/01/2001;194.000;N/E;9,887
19/01/2001;N/E;N/E;9,7953
22/01/2001;N/E;N/E;9,7863
23/01/2001;N/E;N/E;9,7683
24/01/2001;N/E;N/E;9,6923
25/01/2001;189.375;N/E;9,683
26/01/2001;N/E;N/E;9,6909
29/01/2001;N/E;N/E;9,6687
30/01/2001;N/E;N/E;9,6692
31/01/2001;N/E;N/E;9,6828
1/02/2001;183.700;N/E;9,7328
2/02/2001;N/E;N/E;9,756
6/02/2001;N/E;N/E;9,6998
7/02/2001;N/E;N/E;9,6945
8/02/2001;185.150;N/E;9,6464
9/02/2001;N/E;N/E;9,7238
12/02/2001;N/E;N/E;9,7389
13/02/2001;N/E;N/E;9,7065
14/02/2001;N/E;N/E;9,7219
15/02/2001;182.750;N/E;9,6763
16/02/2001;N/E;N/E;9,7022
19/02/2001;N/E;N/E;9,7044
20/02/2001;N/E;N/E;9,6797
21/02/2001;N/E;N/E;9,709
22/02/2001;182.750;N/E;9,7278
23/02/2001;N/E;N/E;9,7183
26/02/2001;N/E;N/E;9,6618
27/02/2001;N/E;N/E;9,6827
28/02/2001;N/E;N/E;9,7025
1/03/2001;175.200;N/E;9,7052
2/03/2001;N/E;N/E;9,6688
5/03/2001;N/E;N/E;9,637
6/03/2001;N/E;N/E;9,6409
7/03/2001;N/E;N/E;9,6542
8/03/2001;173.300;N/E;9,6468
9/03/2001;N/E;N/E;9,6703
12/03/2001;N/E;N/E;9,6625
13/03/2001;N/E;N/E;9,632
14/03/2001;N/E;N/E;9,576
15/03/2001;171.400;N/E;9,5843
16/03/2001;N/E;N/E;9,6233
19/03/2001;N/E;N/E;9,5683
20/03/2001;N/E;N/E;9,5188
22/03/2001;171.850;N/E;9,5722
23/03/2001;N/E;N/E;9,654
26/03/2001;N/E;N/E;9,5315
27/03/2001;N/E;N/E;9,5139
28/03/2001;N/E;N/E;9,538
29/03/2001;169.100;N/E;9,5203
30/03/2001;N/E;N/E;9,4933
2/04/2001;N/E;N/E;9,4152
3/04/2001;N/E;N/E;9,3914
4/04/2001;N/E;N/E;9,4201
5/04/2001;168.000;N/E;9,414
6/04/2001;N/E;N/E;9,4059
9/04/2001;N/E;N/E;9,3587
10/04/2001;N/E;N/E;9,3093
11/04/2001;166.350;N/E;9,2908
16/04/2001;N/E;N/E;9,323
17/04/2001;N/E;N/E;9,2723
18/04/2001;N/E;N/E;9,1966
19/04/2001;160.600;N/E;9,2748
20/04/2001;N/E;N/E;9,3525
23/04/2001;N/E;N/E;9,37
24/04/2001;N/E;N/E;9,2768
25/04/2001;N/E;N/E;9,3123
26/04/2001;157.450;N/E;9,2671
27/04/2001;N/E;N/E;9,3049
30/04/2001;N/E;N/E;9,2537
2/05/2001;N/E;N/E;9,283
3/05/2001;154.400;N/E;9,2873
4/05/2001;N/E;N/E;9,2579
7/05/2001;N/E;N/E;9,2212
8/05/2001;N/E;N/E;9,2048
9/05/2001;N/E;N/E;9,216
10/05/2001;153.500;N/E;9,1967
11/05/2001;N/E;N/E;9,225
14/05/2001;N/E;N/E;9,1922
15/05/2001;N/E;N/E;9,161
16/05/2001;N/E;N/E;9,1645
17/05/2001;149.200;N/E;8,9952
18/05/2001;N/E;N/E;8,9774
21/05/2001;N/E;N/E;8,9428
22/05/2001;N/E;N/E;8,966
23/05/2001;N/E;N/E;9,0398
24/05/2001;127.000;N/E;9,0805
25/05/2001;N/E;N/E;9,0945
28/05/2001;N/E;N/E;9,0781
29/05/2001;N/E;N/E;9,0851
30/05/2001;N/E;N/E;9,1653
31/05/2001;126.700;N/E;9,1835
1/06/2001;N/E;N/E;9,1735
4/06/2001;N/E;N/E;9,1369
5/06/2001;N/E;N/E;9,1722
6/06/2001;N/E;N/E;9,1208
7/06/2001;127.000;N/E;9,1235
8/06/2001;N/E;N/E;9,068
11/06/2001;N/E;N/E;9,029
12/06/2001;N/E;N/E;9,094
13/06/2001;N/E;N/E;9,118
14/06/2001;116.750;N/E;9,0523
15/06/2001;N/E;N/E;9,0522
18/06/2001;N/E;N/E;9,0502
19/06/2001;N/E;N/E;9,0792
20/06/2001;N/E;N/E;9,0798
21/06/2001;116.500;N/E;9,057
22/06/2001;N/E;N/E;9,073
25/06/2001;N/E;N/E;9,0595
26/06/2001;N/E;N/E;9,0606
27/06/2001;N/E;N/E;9,0608
28/06/2001;115.650;N/E;9,09
29/06/2001;N/E;N/E;9,0708
2/07/2001;N/E;N/E;9,0221
3/07/2001;N/E;N/E;9,0258
4/07/2001;N/E;N/E;9,0707
5/07/2001;114.200;N/E;9,0312
6/07/2001;N/E;N/E;9,1503
9/07/2001;N/E;N/E;9,1193
10/07/2001;N/E;N/E;9,1476
11/07/2001;N/E;N/E;9,2953
12/07/2001;123.000;N/E;9,342
13/07/2001;N/E;N/E;9,3542
16/07/2001;N/E;N/E;9,2918
17/07/2001;N/E;N/E;9,1855
18/07/2001;N/E;N/E;9,1283
19/07/2001;117.400;N/E;9,2
20/07/2001;N/E;N/E;9,1796
23/07/2001;N/E;N/E;9,1107
24/07/2001;N/E;N/E;9,1087
25/07/2001;N/E;N/E;9,1599
26/07/2001;109.500;N/E;9,157
27/07/2001;N/E;N/E;9,192
30/07/2001;N/E;N/E;9,1472
31/07/2001;N/E;N/E;9,1408
1/08/2001;N/E;N/E;9,2111
2/08/2001;106.000;N/E;9,1698
3/08/2001;N/E;N/E;9,1638
6/08/2001;N/E;N/E;9,1292
7/08/2001;N/E;N/E;9,12
8/08/2001;N/E;N/E;9,0958
9/08/2001;104.000;N/E;9,0897
10/08/2001;N/E;N/E;9,1247
13/08/2001;N/E;N/E;9,0863
14/08/2001;N/E;N/E;9,1206
15/08/2001;N/E;N/E;9,094
16/08/2001;103.650;N/E;9,0833
17/08/2001;N/E;N/E;9,1155
20/08/2001;N/E;N/E;9,1383
21/08/2001;N/E;N/E;9,1227
22/08/2001;N/E;N/E;9,1158
23/08/2001;93.400;N/E;9,1205
24/08/2001;N/E;N/E;9,1444
27/08/2001;N/E;N/E;9,1123
28/08/2001;N/E;N/E;9,1365
29/08/2001;N/E;N/E;9,1438
30/08/2001;104.000;N/E;9,1692
31/08/2001;N/E;N/E;9,2
3/09/2001;N/E;N/E;9,1936
4/09/2001;N/E;N/E;9,1957
5/09/2001;N/E;N/E;9,2587
6/09/2001;121.250;N/E;9,2898
7/09/2001;N/E;N/E;9,3242
10/09/2001;N/E;N/E;9,3716
11/09/2001;N/E;N/E;9,5475
12/09/2001;N/E;N/E;9,4447
13/09/2001;N/E;N/E;9,4748
14/09/2001;122.750;N/E;9,4942
17/09/2001;N/E;N/E;9,4478
18/09/2001;N/E;N/E;9,4455
19/09/2001;N/E;N/E;9,4185
20/09/2001;120.250;N/E;9,4802
21/09/2001;N/E;N/E;9,4848
24/09/2001;N/E;N/E;9,4315
25/09/2001;N/E;N/E;9,4842
26/09/2001;N/E;N/E;9,5258
27/09/2001;123.400;N/E;9,5542
28/09/2001;N/E;N/E;9,5098
1/10/2001;N/E;N/E;9,5037
