"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"

"OBSERVATIONS"
"date","IEXE0102"
"2016-01-04","1.3941"
"2016-01-05","1.3989"
"2016-01-06","1.4080"
"2016-01-07","1.4097"
"2016-01-08","1.4149"
"2016-01-11","1.4223"
"2016-01-12","1.4257"
"2016-01-13","1.4345"
"2016-01-14","1.4362"
"2016-01-15","1.4530"
"2016-01-18","1.4557"
"2016-01-19","1.4559"
"2016-01-20","1.4490"
"2016-01-21","1.4279"
"2016-01-22","1.4150"
"2016-01-25","1.4270"
"2016-01-26","1.4075"
"2016-01-27","1.4103"
"2016-01-28","1.4048"
"2016-01-29","1.4006"
"2016-02-01","1.3930"
"2016-02-02","1.4027"
"2016-02-03","1.3773"
"2016-02-04","1.3745"
"2016-02-05","1.3908"
"2016-02-08","1.3934"
"2016-02-09","1.3879"
"2016-02-10","1.3933"
"2016-02-11","1.3921"
"2016-02-12","1.3861"
"2016-02-16","1.3881"
"2016-02-17","1.3705"
"2016-02-18","1.3749"
"2016-02-19","1.3769"
"2016-02-22","1.3712"
"2016-02-23","1.3768"
"2016-02-24","1.3687"
"2016-02-25","1.3541"
"2016-02-26","1.3514"
"2016-02-29","1.3531"
"2016-03-01","1.3414"
"2016-03-02","1.3427"
"2016-03-03","1.3396"
"2016-03-04","1.3324"
"2016-03-07","1.3276"
"2016-03-08","1.3416"
"2016-03-09","1.3250"
"2016-03-10","1.3346"
"2016-03-11","1.3231"
"2016-03-14","1.3267"
"2016-03-15","1.3362"
"2016-03-16","1.3122"
"2016-03-17","1.2989"
"2016-03-18","1.3037"
"2016-03-21","1.3085"
"2016-03-22","1.3035"
"2016-03-23","1.3214"
"2016-03-24","1.3240"
"2016-03-28","1.3181"
"2016-03-29","1.3065"
"2016-03-30","1.2965"
"2016-03-31","1.2987"
"2016-04-01","1.3014"
"2016-04-04","1.3072"
"2016-04-05","1.3157"
"2016-04-06","1.3094"
"2016-04-07","1.3144"
"2016-04-08","1.3002"
"2016-04-11","1.2899"
"2016-04-12","1.2759"
"2016-04-13","1.2815"
"2016-04-14","1.2849"
"2016-04-15","1.2837"
"2016-04-18","1.2797"
"2016-04-19","1.2660"
"2016-04-20","1.2650"
"2016-04-21","1.2727"
"2016-04-22","1.2671"
"2016-04-25","1.2686"
"2016-04-26","1.2621"
"2016-04-27","1.2619"
"2016-04-28","1.2549"
"2016-04-29","1.2548"
"2016-05-02","1.2536"
"2016-05-03","1.2713"
"2016-05-04","1.2870"
"2016-05-05","1.2868"
"2016-05-06","1.2919"
"2016-05-09","1.2963"
"2016-05-10","1.2916"
"2016-05-11","1.2851"
"2016-05-12","1.2834"
"2016-05-13","1.2935"
"2016-05-16","1.2896"
