"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"

"OBSERVATIONS"
"date","IEXE0102"
"2017-01-03","1.3433"
"2017-01-04","1.3308"
"2017-01-05","1.3242"
"2017-01-06","1.3232"
"2017-01-09","1.3230"
"2017-01-10","1.3227"
"2017-01-11","1.3177"
"2017-01-12","1.3132"
"2017-01-13","1.3126"
"2017-01-16","1.3187"
"2017-01-17","1.3058"
"2017-01-18","1.3259"
"2017-01-19","1.3314"
"2017-01-20","1.3327"
"2017-01-23","1.3267"
"2017-01-24","1.3161"
"2017-01-25","1.3067"
"2017-01-26","1.3098"
"2017-01-27","1.3138"
"2017-01-30","1.3120"
"2017-01-31","1.3012"
"2017-02-01","1.3047"
"2017-02-02","1.3020"
"2017-02-03","1.3028"
"2017-02-06","1.3087"
"2017-02-07","1.3167"
"2017-02-08","1.3155"
"2017-02-09","1.3141"
"2017-02-10","1.3085"
"2017-02-13","1.3075"
"2017-02-14","1.3071"
"2017-02-15","1.3075"
"2017-02-16","1.3080"
"2017-02-17","1.3099"
"2017-02-21","1.3138"
"2017-02-22","1.3144"
"2017-02-23","1.3114"
"2017-02-24","1.3109"
"2017-02-27","1.3163"
"2017-02-28","1.3281"
"2017-03-01","1.3335"
"2017-03-02","1.3399"
"2017-03-03","1.3379"
"2017-03-06","1.3410"
"2017-03-07","1.3416"
"2017-03-08","1.3494"
"2017-03-09","1.3508"
"2017-03-10","1.3463"
"2017-03-13","1.3444"
"2017-03-14","1.3485"
"2017-03-15","1.3307"
"2017-03-16","1.3347"
"2017-03-17","1.3337"
"2017-03-20","1.3354"
"2017-03-21","1.3359"
"2017-03-22","1.3327"
"2017-03-23","1.3351"
"2017-03-24","1.3380"
"2017-03-27","1.3376"
"2017-03-28","1.3383"
"2017-03-29","1.3333"
"2017-03-30","1.3334"
"2017-03-31","1.3299"
"2017-04-03","1.3386"
"2017-04-04","1.3406"
"2017-04-05","1.3427"
"2017-04-06","1.3418"
"2017-04-07","1.3410"
"2017-04-10","1.3332"
"2017-04-11","1.3332"
"2017-04-12","1.3273"
"2017-04-13","1.3328"
"2017-04-17","1.3316"
"2017-04-18","1.3381"
"2017-04-19","1.3480"
"2017-04-20","1.3472"
"2017-04-21","1.3505"
"2017-04-24","1.3511"
"2017-04-25","1.3565"
"2017-04-26","1.3612"
"2017-04-27","1.3624"
"2017-04-28","1.3650"
