"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"

"OBSERVATIONS"
"date","IEXE0102"
"2014-01-02","1.0673"
"2014-01-03","1.0639"
"2014-01-06","1.0652"
"2014-01-07","1.0772"
"2014-01-08","1.0804"
"2014-01-09","1.0852"
"2014-01-10","1.0901"
"2014-01-13","1.0846"
"2014-01-14","1.0948"
"2014-01-15","1.0945"
"2014-01-16","1.0925"
"2014-01-17","1.0976"
"2014-01-20","1.0951"
"2014-01-21","1.0972"
"2014-01-22","1.1088"
"2014-01-23","1.1099"
"2014-01-24","1.1073"
"2014-01-27","1.1112"
"2014-01-28","1.1156"
"2014-01-29","1.1178"
"2014-01-30","1.1166"
"2014-01-31","1.1138"
"2014-02-03","1.1097"
"2014-02-04","1.1081"
"2014-02-05","1.1080"
"2014-02-06","1.1070"
"2014-02-07","1.1039"
"2014-02-10","1.1055"
"2014-02-11","1.1017"
"2014-02-12","1.0997"
"2014-02-13","1.0977"
"2014-02-14","1.0983"
"2014-02-18","1.0951"
"2014-02-19","1.1082"
"2014-02-20","1.1099"
"2014-02-21","1.1133"
"2014-02-24","1.1067"
"2014-02-25","1.1086"
"2014-02-26","1.1128"
"2014-02-27","1.1136"
"2014-02-28","1.1074"
"2014-03-03","1.1084"
"2014-03-04","1.1100"
"2014-03-05","1.1038"
"2014-03-06","1.0992"
"2014-03-07","1.1090"
"2014-03-10","1.1101"
"2014-03-11","1.1103"
"2014-03-12","1.1116"
"2014-03-13","1.1053"
"2014-03-14","1.1095"
"2014-03-17","1.1053"
"2014-03-18","1.1137"
"2014-03-19","1.1245"
"2014-03-20","1.1242"
"2014-03-21","1.1210"
"2014-03-24","1.1195"
"2014-03-25","1.1159"
"2014-03-26","1.1084"
"2014-03-27","1.1032"
"2014-03-28","1.1060"
"2014-03-31","1.1055"
"2014-04-01","1.1032"
"2014-04-02","1.1035"
"2014-04-03","1.1039"
"2014-04-04","1.0981"
"2014-04-07","1.0969"
"2014-04-08","1.0922"
"2014-04-09","1.0872"
"2014-04-10","1.0929"
"2014-04-11","1.0979"
"2014-04-14","1.0953"
"2014-04-15","1.0977"
"2014-04-16","1.1018"
"2014-04-17","1.1013"
"2014-04-21","1.1015"
"2014-04-22","1.1028"
"2014-04-23","1.1032"
"2014-04-24","1.1028"
"2014-04-25","1.1036"
"2014-04-28","1.1025"
"2014-04-29","1.0951"
"2014-04-30","1.0960"
"2014-05-01","1.0961"
"2014-05-02","1.0980"
"2014-05-05","1.0952"
"2014-05-06","1.0879"
"2014-05-07","1.0894"
"2014-05-08","1.0823"
"2014-05-09","1.0896"
"2014-05-12","1.0897"
"2014-05-13","1.0910"
"2014-05-14","1.0882"
"2014-05-15","1.0877"
"2014-05-16","1.0857"
"2014-05-20","1.0899"
"2014-05-21","1.0915"
"2014-05-22","1.0893"
"2014-05-23","1.0870"
"2014-05-26","1.0860"
"2014-05-27","1.0861"
"2014-05-28","1.0875"
"2014-05-29","1.0836"
"2014-05-30","1.0842"
"2014-06-02","1.0898"
"2014-06-03","1.0910"
"2014-06-04","1.0939"
"2014-06-05","1.0929"
"2014-06-06","1.0930"
"2014-06-09","1.0908"
"2014-06-10","1.0904"
"2014-06-11","1.0867"
"2014-06-12","1.0855"
"2014-06-13","1.0856"
"2014-06-16","1.0841"
"2014-06-17","1.0864"
"2014-06-18","1.0850"
"2014-06-19","1.0823"
"2014-06-20","1.0752"
"2014-06-23","1.0726"
"2014-06-24","1.0744"
"2014-06-25","1.0722"
"2014-06-26","1.0693"
"2014-06-27","1.0661"
