"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXUSDCAD","USD/CAD","US dollar to Canadian dollar daily exchange rate"

"OBSERVATIONS"
"date","FXUSDCAD"
"2018-01-02","1.2517"
"2018-01-03","1.2533"
"2018-01-04","1.2515"
"2018-01-05","1.2403"
"2018-01-08","1.2422"
"2018-01-09","1.2454"
"2018-01-10","1.2496"
"2018-01-11","1.2535"
"2018-01-12","1.2504"
"2018-01-15","1.2422"
"2018-01-16","1.2419"
"2018-01-17","1.2425"
"2018-01-18","1.2446"
"2018-01-19","1.2459"
"2018-01-22","1.2458"
"2018-01-23","1.2454"
"2018-01-24","1.2341"
"2018-01-25","1.2323"
"2018-01-26","1.2321"
"2018-01-29","1.2335"
"2018-01-30","1.2328"
"2018-01-31","1.2293"
"2018-02-01","1.2288"
"2018-02-02","1.2380"
"2018-02-05","1.2483"
"2018-02-06","1.2530"
"2018-02-07","1.2546"
"2018-02-08","1.2585"
"2018-02-09","1.2609"
"2018-02-12","1.2603"
"2018-02-13","1.2600"
"2018-02-14","1.2562"
"2018-02-15","1.2507"
"2018-02-16","1.2540"
"2018-02-20","1.2622"
"2018-02-21","1.2671"
"2018-02-22","1.2709"
"2018-02-23","1.2668"
"2018-02-26","1.2686"
"2018-02-27","1.2740"
"2018-02-28","1.2809"
"2018-03-01","1.2851"
"2018-03-02","1.2891"
"2018-03-05","1.2977"
"2018-03-06","1.2898"
"2018-03-07","1.2947"
"2018-03-08","1.2927"
"2018-03-09","1.2840"
"2018-03-12","1.2830"
"2018-03-13","1.2912"
"2018-03-14","1.2944"
"2018-03-15","1.3032"
"2018-03-16","1.3088"
"2018-03-19","1.3079"
"2018-03-20","1.3077"
"2018-03-21","1.2958"
"2018-03-22","1.2908"
"2018-03-23","1.2856"
"2018-03-26","1.2886"
"2018-03-27","1.2869"
"2018-03-28","1.2902"
"2018-03-29","1.2894"
"2018-04-02","1.2908"
"2018-04-03","1.2812"
"2018-04-04","1.2809"
"2018-04-05","1.2776"
"2018-04-06","1.2764"
"2018-04-09","1.2729"
"2018-04-10","1.2618"
"2018-04-11","1.2584"
"2018-04-12","1.2596"
"2018-04-13","1.2597"
"2018-04-16","1.2579"
"2018-04-17","1.2552"
"2018-04-18","1.2614"
"2018-04-19","1.2633"
"2018-04-20","1.2728"
"2018-04-23","1.2833"
"2018-04-24","1.2828"
"2018-04-25","1.2869"
"2018-04-26","1.2862"
"2018-04-27","1.2857"
"2018-04-30","1.2836"
"2018-05-01","1.2867"
"2018-05-02","1.2851"
"2018-05-03","1.2862"
"2018-05-04","1.2861"
"2018-05-07","1.2864"
"2018-05-08","1.2963"
"2018-05-09","1.2856"
"2018-05-10","1.2775"
"2018-05-11","1.2779"
"2018-05-14","1.2775"
"2018-05-15","1.2876"
"2018-05-16","1.2809"
"2018-05-17","1.2801"
