"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"

"OBSERVATIONS"
"date","IEXE0102"
"2015-01-02","1.1762"
"2015-01-05","1.1749"
"2015-01-06","1.1828"
"2015-01-07","1.1820"
"2015-01-08","1.1836"
"2015-01-09","1.1866"
"2015-01-12","1.1967"
"2015-01-13","1.1954"
"2015-01-14","1.1945"
"2015-01-15","1.1964"
"2015-01-16","1.1968"
"2015-01-19","1.1947"
"2015-01-20","1.2107"
"2015-01-21","1.2335"
"2015-01-22","1.2404"
"2015-01-23","1.2424"
"2015-01-26","1.2464"
"2015-01-27","1.2404"
"2015-01-28","1.2520"
"2015-01-29","1.2611"
"2015-01-30","1.2711"
"2015-02-02","1.2577"
"2015-02-03","1.2396"
"2015-02-04","1.2565"
"2015-02-05","1.2424"
"2015-02-06","1.2524"
"2015-02-09","1.2465"
"2015-02-10","1.2574"
"2015-02-11","1.2641"
"2015-02-12","1.2490"
"2015-02-13","1.2461"
"2015-02-17","1.2374"
"2015-02-18","1.2418"
"2015-02-19","1.2498"
"2015-02-20","1.2546"
"2015-02-23","1.2576"
"2015-02-24","1.2496"
"2015-02-25","1.2423"
"2015-02-26","1.2527"
"2015-02-27","1.2503"
"2015-03-02","1.2535"
"2015-03-03","1.2490"
"2015-03-04","1.2416"
"2015-03-05","1.2506"
"2015-03-06","1.2610"
"2015-03-09","1.2596"
"2015-03-10","1.2680"
"2015-03-11","1.2761"
"2015-03-12","1.2703"
"2015-03-13","1.2790"
"2015-03-16","1.2780"
"2015-03-17","1.2776"
"2015-03-18","1.2570"
"2015-03-19","1.2726"
"2015-03-20","1.2579"
"2015-03-23","1.2499"
"2015-03-24","1.2501"
"2015-03-25","1.2517"
"2015-03-26","1.2471"
"2015-03-27","1.2600"
"2015-03-30","1.2693"
"2015-03-31","1.2666"
"2015-04-01","1.2626"
"2015-04-02","1.2564"
"2015-04-06","1.2478"
"2015-04-07","1.2504"
"2015-04-08","1.2538"
"2015-04-09","1.2592"
"2015-04-10","1.2580"
"2015-04-13","1.2592"
"2015-04-14","1.2490"
"2015-04-15","1.2300"
"2015-04-16","1.2181"
"2015-04-17","1.2228"
"2015-04-20","1.2230"
"2015-04-21","1.2281"
"2015-04-22","1.2228"
"2015-04-23","1.2146"
"2015-04-24","1.2170"
"2015-04-27","1.2101"
"2015-04-28","1.2030"
"2015-04-29","1.2023"
"2015-04-30","1.2064"
"2015-05-01","1.2157"
"2015-05-04","1.2092"
"2015-05-05","1.2072"
"2015-05-06","1.2040"
"2015-05-07","1.2120"
"2015-05-08","1.2090"
"2015-05-11","1.2110"
"2015-05-12","1.2018"
"2015-05-13","1.1967"
"2015-05-14","1.1999"
"2015-05-15","1.2022"
"2015-05-19","1.2232"
"2015-05-20","1.2196"
"2015-05-21","1.2208"
"2015-05-22","1.2301"
"2015-05-25","1.2313"
"2015-05-26","1.2427"
"2015-05-27","1.2459"
"2015-05-28","1.2435"
"2015-05-29","1.2437"
"2015-06-01","1.2535"
"2015-06-02","1.2408"
"2015-06-03","1.2453"
"2015-06-04","1.2504"
"2015-06-05","1.2439"
"2015-06-08","1.2398"
"2015-06-09","1.2346"
"2015-06-10","1.2262"
"2015-06-11","1.2275"
"2015-06-12","1.2311"
"2015-06-15","1.2317"
"2015-06-16","1.2312"
"2015-06-17","1.2236"
"2015-06-18","1.2227"
"2015-06-19","1.2266"
"2015-06-22","1.2326"
"2015-06-23","1.2333"
"2015-06-24","1.2400"
"2015-06-25","1.2323"
"2015-06-26","1.2315"
"2015-06-29","1.2392"
"2015-06-30","1.2490"
"2015-07-02","1.2545"
"2015-07-03","1.2560"
"2015-07-06","1.2652"
"2015-07-07","1.2712"
"2015-07-08","1.2740"
"2015-07-09","1.2707"
"2015-07-10","1.2679"
"2015-07-13","1.2740"
"2015-07-14","1.2740"
"2015-07-15","1.2920"
"2015-07-16","1.2970"
"2015-07-17","1.2987"
"2015-07-20","1.2997"
"2015-07-21","1.2948"
"2015-07-22","1.3037"
"2015-07-23","1.3039"
"2015-07-24","1.3035"
"2015-07-27","1.3045"
"2015-07-28","1.2927"
"2015-07-29","1.2944"
"2015-07-30","1.3010"
"2015-07-31","1.3080"
"2015-08-04","1.3180"
"2015-08-05","1.3188"
"2015-08-06","1.3108"
"2015-08-07","1.3133"
"2015-08-10","1.3001"
"2015-08-11","1.3104"
"2015-08-12","1.2973"
"2015-08-13","1.3064"
"2015-08-14","1.3092"
"2015-08-17","1.3085"
"2015-08-18","1.3056"
"2015-08-19","1.3110"
"2015-08-20","1.3081"
"2015-08-21","1.3169"
"2015-08-24","1.3262"
"2015-08-25","1.3346"
"2015-08-26","1.3322"
"2015-08-27","1.3218"
"2015-08-28","1.3215"
"2015-08-31","1.3157"
"2015-09-01","1.3222"
"2015-09-02","1.3271"
"2015-09-03","1.3194"
"2015-09-04","1.3265"
"2015-09-08","1.3205"
"2015-09-09","1.3250"
"2015-09-10","1.3228"
"2015-09-11","1.3254"
"2015-09-14","1.3257"
"2015-09-15","1.3247"
"2015-09-16","1.3171"
"2015-09-17","1.3174"
"2015-09-18","1.3217"
"2015-09-21","1.3245"
"2015-09-22","1.3258"
"2015-09-23","1.3347"
"2015-09-24","1.3318"
"2015-09-25","1.3316"
"2015-09-28","1.3394"
"2015-09-29","1.3418"
"2015-09-30","1.3345"
"2015-10-01","1.3255"
"2015-10-02","1.3164"
"2015-10-05","1.3087"
"2015-10-06","1.3027"
